ant,bee,beetle,butterfly,cockroach,cricket,dragonfly,earwig,flea,fly,gnat,grasshopper,ladybird,louse,mosquito,moth,spider,termite,wasp,year
0.0,0.0019305019305019305,0.0019305019305019305,0.0,0.0,0.0,0.0009652509652509653,0.0,0.0,0.0,0.0019305019305019305,0.0028957528957528956,0.0,0.0,0.0,0.0019305019305019305,0.0019305019305019305,0.0,0.0009652509652509653,1800
0.00018047283883775492,0.006181194730193106,4.511820970943873e-05,0.0078054502797329,0.0,0.0001353546291283162,0.0,0.0,9.023641941887746e-05,0.0016242555495397943,4.511820970943873e-05,0.0,0.0,0.0001353546291283162,0.0,0.00022559104854719364,4.511820970943873e-05,0.0,0.0,1810
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820
0.0005042902303176276,0.0012193286165888906,0.0005494505494505495,0.0008354659039590546,7.526719855486979e-06,3.76335992774349e-05,6.021375884389583e-05,6.774047869938281e-05,0.00012795423754327864,0.002160168598524763,0.0003838627126298359,7.526719855486979e-06,6.021375884389583e-05,8.279391841035676e-05,0.0,0.0018666265241607707,0.001384916453409604,0.0,0.0007601987054041848,1830
0.0005346430577958208,0.0010058538883955272,0.0004349638436304982,0.0009696069014263189,9.061746742302046e-06,0.0006433840187034453,0.00012686445439222865,4.530873371151023e-05,4.530873371151023e-05,0.0012686445439222865,0.00026279065552675934,0.00010874096090762455,3.624698696920818e-05,3.624698696920818e-05,1.812349348460409e-05,0.0006343222719611433,0.0006071370317342371,0.0,0.00039871685666129005,1840
0.0005318927903594432,0.0010388531061707874,0.0003573654685227509,0.0005734469146062746,1.66216496987326e-05,8.3108248493663e-05,0.0001828381466860586,5.8175773945564095e-05,7.47974236442967e-05,0.0015042592977353002,0.00014128402243922708,9.14190733430293e-05,3.32432993974652e-05,0.0,8.3108248493663e-06,0.0005734469146062746,0.0007645958861416996,0.0,0.0003158113442759194,1850
0.00011262952395254542,0.0001501726986033939,0.0,0.00037543174650848477,0.0,0.0,0.0,0.0,0.0,0.0002628022225559393,0.0,0.0,0.0,0.0,0.0,0.0,0.00031911698453221203,0.0,1.8771587325424237e-05,1860
0.0015464994775339603,0.0014629049111807733,0.000320445837687217,0.0013375130616509927,0.0,4.179728317659352e-05,5.572971090212469e-05,0.0001532567049808429,9.752699407871821e-05,0.0015325670498084292,2.7864855451062346e-05,5.572971090212469e-05,0.00013932427725531175,1.3932427725531173e-05,0.0,0.0006548241030999651,0.0009056078021595263,2.7864855451062346e-05,0.00023685127133402995,1870
0.00044810128995967087,0.00040996500996310313,0.0005752222232815633,0.0002478858199776903,1.9068139998283868e-05,4.4492326662662354e-05,3.495825666352043e-05,9.534069999141934e-06,3.495825666352043e-05,0.0007373014132669762,6.356046666094622e-05,9.216267665837202e-05,1.9068139998283868e-05,7.627255999313547e-05,0.00010805279332360858,0.00044492326662662357,0.00023517372664550102,1.5890116665236555e-05,0.00018750337664979135,1880
0.00019472279818800808,0.0019215502502508929,0.0001476469568678303,0.00011982941426954343,0.0,5.9914707134771714e-05,1.711848775279192e-05,0.0,8.55924387639596e-06,0.000620545181038707,1.0699054845494949e-05,0.0001283886581459394,1.283886581459394e-05,4.27962193819798e-06,3.637678647468283e-05,7.703319488756363e-05,0.0002460782614463838,0.0,0.0001262488471768404,1890
0.0004779135659179354,0.0014027073493175766,0.0009682404712103627,0.0006827336655970506,0.00013654673311941013,0.0002606801268643284,0.00022344010874085293,1.8620009061737744e-05,2.4826678748983656e-05,0.002495081214272858,9.310004530868871e-05,0.0006020469596628537,0.00011792672405767238,4.965335749796731e-05,0.00020482009967911518,0.0009372071227741331,0.0005275669234159027,0.0,0.0006951470049715424,1900
0.00019767491558746848,0.004231311706629055,0.0005182288327563362,0.0008280976193529084,1.0685130572295594e-05,0.00044877548403641495,0.0001656195238705817,0.0,3.739795700303458e-05,0.0005823396161901099,3.205539171688678e-05,0.0008708381416420908,1.602769585844339e-05,1.602769585844339e-05,7.479591400606916e-05,0.0003526093088857546,0.0020942855921699363,0.0,0.00012822156686754713,1910
